14	396448.638
95395466.3463
176	395499.2831
291	392500.0969
381	388475.9949
496	385476.8086
629	380454.9153
744	377455.7291
858	370395.6291
954	366373.4646
1054	359307.5522
1149	352239.7024
1230    348211.7255
1326	341143.8757
1426	334077.9633
1521	324979.6567
1603	315875.5376
1688	311849.4982
1774	301732.0882
1860	291614.6782
1946.564885	283527.725
2046.755725	273416.1274
2123.091603	264310.0709
2218.51145	252166.079
2290.076336	241027.6282
2361.641221	232934.8626
2414.122137	222803.8904
2500	211671.252
