20.60664782	1.68221E-05
53.38764222	1.68228E-05
80.18305732	1.68632E-05
106.9530739	1.69433E-05
132.2584438	1.69836E-05
157.5384152	1.70637E-05
185.7603793	1.72036E-05
211.0276514	1.73036E-05
239.275014	1.74036E-05
260.0594513	1.75234E-05
279.3792419	1.76034E-05
301.6156267	1.77828E-05
326.8575003	1.79226E-05
352.0866747	1.80822E-05
374.3357587	1.82418E-05
395.069399	1.84411E-05
414.3383927	1.86007E-05
439.5167701	1.88399E-05
455.8183725	1.89794E-05
473.5973209	1.91389E-05
491.3508708	1.93382E-05
525.393324	1.96969E-05
566.8860031	2.00557E-05
587.5688464	2.03346E-05
608.2770882	2.05737E-05
626.0052396	2.08127E-05
642.2814436	2.09921E-05
661.4996402	2.12311E-05
674.7830545	2.14303E-05
691.0465592	2.16295E-05
708.8001091	2.18288E-05
723.5608694	2.20478E-05
736.8188852	2.22868E-05
748.6249536	2.2466E-05
760.4183227	2.26651E-05
772.173594	2.29239E-05
786.972452	2.30833E-05
804.7133027	2.33025E-05
817.9586193	2.35613E-05
837.1514174	2.38401E-05
851.9121776	2.40592E-05
